experiment,precision-CLIMATE,recall-CLIMATE,f1-CLIMATE,precision-MISC,recall-MISC,f1-MISC,accuracy,macro f1-score
NB_TF-IDF_1_1_FULL,0.9231,0.0236,0.046,0.7068,0.9992,0.8279,0.7084,0.4369
NB_TF-IDF_1_1_FULL,0.9231,0.0236,0.046,0.7068,0.9992,0.8279,0.7084,0.4369
NB_TF-IDF_1_1_FULL,0.9231,0.0236,0.046,0.7068,0.9992,0.8279,0.7084,0.4369
NB_CV_1_1_FULL,0.6682,0.8743,0.7574,0.9386,0.8157,0.8728,0.8331,0.8151
NB_CV_1_1_FULL,0.6682,0.8743,0.7574,0.9386,0.8157,0.8728,0.8331,0.8151
NB_CV_1_1_FULL,0.6682,0.8743,0.7574,0.9386,0.8157,0.8728,0.8331,0.8151
NB_CV_1_1_FULL,0.6682,0.8743,0.7574,0.9386,0.8157,0.8728,0.8331,0.8151
NB_CV_1_1_FULL,0.6682,0.8743,0.7574,0.9386,0.8157,0.8728,0.8331,0.8151
NB_CV_1_1_FULL,0.5935613682092555,0.899390243902439,0.7151515151515151,0.965873836608066,0.8221830985915493,0.8882548739895387,0.8394808743169399,0.8017031945705269
NB_CV_1_1,0.5935613682092555,0.899390243902439,0.7151515151515151,0.965873836608066,0.8221830985915493,0.8882548739895387,0.8394808743169399,0.8017031945705269
NB_CV_1_1,0.5935613682092555,0.899390243902439,0.7151515151515151,0.965873836608066,0.8221830985915493,0.8882548739895387,0.8394808743169399,0.8017031945705269
NB_CV_1_1,0.5935613682092555,0.899390243902439,0.7151515151515151,0.9658738366080661,0.8221830985915493,0.8882548739895387,0.8394808743169399,0.8017031945705269
