experiment,precision-CLIMATE,recall-CLIMATE,f1-CLIMATE,precision-MISC,recall-MISC,f1-MISC,accuracy,macro f1-score
RF+CV_ccp_alpha_0.0,0.925339366515837,0.8035363457760308,0.8601472134595161,0.9210110584518171,0.9724770642201841,0.9460446247464499,0.922131147540984,0.9030959191029829
RF+CV_ccp_alpha_0.01,0.984924623115578,0.3850687622789779,0.553672316384181,0.792577866136514,0.9974979149291079,0.8833087149187591,0.8149882903981271,0.7184905156514699
RF+CV_ccp_alpha_0.001,0.9606060606060609,0.62278978388998,0.755661501787843,0.86066763425254,0.989157631359466,0.920450135816841,0.879976580796253,0.8380558188023419
RF+CV_ccp_alpha_0.0001,0.9214780600461892,0.783889980353635,0.847133757961784,0.913725490196078,0.9716430358632191,0.9417946645109141,0.9156908665105391,0.8944642112363492
RF+Tf-idf_ccp_alpha_0.0,0.9077868852459019,0.8703339882121809,0.8886659979939819,0.9459016393442621,0.962468723936614,0.954113269946259,0.9350117096018741,0.92138963397012
RF+Tf-idf_ccp_alpha_0.01,0.979508196721312,0.46954813359528497,0.6347941567065071,0.815573770491803,0.9958298582151791,0.8967330078858431,0.838992974238876,0.765763582296175
RF+Tf-idf_ccp_alpha_0.001,0.931758530183727,0.697445972495088,0.797752808988764,0.8839487565938209,0.978315262718932,0.9287410926365791,0.894613583138173,0.8632469508126719
RF+Tf-idf_ccp_alpha_0.0001,0.904166666666667,0.852652259332024,0.877654196157735,0.938925081433225,0.96163469557965,0.950144210960033,0.9291569086651049,0.913899203558884
RF+Tf-idf_0.0,0.9077868852459019,0.8703339882121809,0.8886659979939819,0.9459016393442621,0.962468723936614,0.954113269946259,0.9350117096018741,0.92138963397012
RF+Tf-idf_ccp_alpha_0.0,0.9077868852459017,0.8703339882121808,0.8886659979939819,0.9459016393442623,0.9624687239366139,0.9541132699462588,0.9350117096018735,0.9213896339701204
